citizen_id,full_name,area
CD100 ,Nguyen van A,Phường A
cd101,Hoang   van e,xa  b
cd102,Hoang   van e,Phuong A
cd103,  Tran  thi B,Quận 1
CD104,LE VAN  c,Phường A
CD105,Nguyen van A,Phuong A
cd106,pham  thi D,Xã B
cd107,Nguyen van A,Quan 1
cd108,  Tran  thi B,Xã B
 CD109,LE VAN  c,phuong a
 CD110,Nguyen van A,phuong a
cd111,pham  thi D,Phuong A
CD112 ,  Tran  thi B,phuong a
CD113,Hoang   van e,quan 1
 CD114,LE VAN  c,Quận 1
CD115 ,LE VAN  c,Xa B
CD116 ,pham  thi D,Quận 1
CD117,  Tran  thi B,quan 1
 CD118,Hoang   van e,quan 1
cd119,Hoang   van e,Xa B
cd120,  Tran  thi B,Quan 1
CD121,Hoang   van e,Quận 1
 CD122,Nguyen van A,xa  b
CD123,  Tran  thi B,Quận 1
cd124,Hoang   van e,phuong a
CD125,  Tran  thi B,phuong a
 CD126,pham  thi D,Phuong A
CD127 ,  Tran  thi B,xa  b
CD128 ,LE VAN  c,Phuong A
CD129 ,LE VAN  c,phuong a
CD130 ,Nguyen van A,quan 1
 CD131,Hoang   van e,Quan 1
 CD132,Nguyen van A,xa  b
cd133,LE VAN  c,Phường A
CD134 ,  Tran  thi B,xa  b
CD135,pham  thi D,quan 1
cd136,Hoang   van e,Xã B
CD137 ,Hoang   van e,Xã B
cd138,Nguyen van A,xa  b
 CD139,  Tran  thi B,Phường A
 CD140,LE VAN  c,Xa B
 CD141,Nguyen van A,Quận 1
 CD142,Hoang   van e,Xa B
CD143,  Tran  thi B,quan 1
CD144 ,LE VAN  c,Quận 1
CD145,pham  thi D,Phuong A
CD146,pham  thi D,Quan 1
cd147,Hoang   van e,Quận 1
 CD148,  Tran  thi B,Phuong A
cd149,Nguyen van A,quan 1
